0 1 2 
0 -0.286889 0.184761 
0 -0.272876 0.17573 
0 -0.258804 0.166696 
0 -0.244675 0.157661 
0 -0.230494 0.148623 
0 -0.216262 0.139583 
0 -0.201984 0.130541 
0 -0.187662 0.121498 
0 -0.1733 0.112453 
0 -0.1589 0.103407 
0 -0.144465 0.0943587 
0 -0.129999 0.0853097 
0 -0.115505 0.0762595 
0 -0.100986 0.0672083 
0 -0.0864455 0.0581563 
0 -0.071886 0.0491034 
0 -0.0573109 0.04005 
0 -0.0427234 0.030996 
0 -0.0281266 0.0219417 
0 -0.0135237 0.012887 
0 0.00108206 0.00383222 
0 0.0156876 -0.00522263 
0 0.0302898 -0.0142774 
0 0.0448854 -0.023332 
0 0.0594713 -0.0323863 
0 0.0740443 -0.0414403 
0 0.0886012 -0.0504936 
0 0.103139 -0.0595464 
0 0.117655 -0.0685984 
0 0.132145 -0.0776495 
0 0.146606 -0.0866997 
0 0.161036 -0.0957488 
0 0.175431 -0.104797 
0 0.189787 -0.113843 
0 0.204103 -0.122889 
0 0.218375 -0.131932 
0 0.232599 -0.140974 
0 0.246774 -0.150015 
0 0.260895 -0.159053 
0 0.274959 -0.16809 
0 0.288964 -0.177125 
0 0.302907 -0.186157 
0 0.316784 -0.195187 
0 0.330592 -0.204215 
0 0.34433 -0.213241 
0 0.357993 -0.222264 
0 0.371578 -0.231284 
0 0.385084 -0.240302 
0 0.398506 -0.249316 
0 0.411842 -0.258328 
0 0.42509 -0.267337 
0 0.438245 -0.276342 
0 0.451307 -0.285345 
0 0.464271 -0.294344 
0 0.477134 -0.303339 
0 0.489895 -0.312331 
0 0.502551 -0.32132 
0 0.515098 -0.330305 
0 0.527534 -0.339285 
0 0.539857 -0.348263 
0 0.552063 -0.357236 
0 0.564151 -0.366205 
0 0.576117 -0.37517 
0 0.58796 -0.38413 
0 0.599676 -0.393086 
0 0.611263 -0.402038 
0 0.622718 -0.410985 
0 0.63404 -0.419928 
0 0.645226 -0.428866 
0 0.656273 -0.437799 
0 0.667179 -0.446728 
0 0.677942 -0.455651 
0 0.68856 -0.464569 
0 0.69903 -0.473482 
0 0.70935 -0.48239 
0 0.719518 -0.491293 
0 0.729531 -0.50019 
0 0.739389 -0.509082 
0 0.749088 -0.517968 
0 0.758627 -0.526849 
0 0.768003 -0.535724 
0 0.777216 -0.544593 
0 0.786262 -0.553456 
0 0.795139 -0.562314 
0 0.803847 -0.571165 
0 0.812384 -0.58001 
0 0.820746 -0.588849 
0 0.828934 -0.597682 
0 0.836944 -0.606508 
0 0.844776 -0.615328 
0 0.852428 -0.624142 
0 0.859898 -0.632948 
0 0.867185 -0.641749 
0 0.874287 -0.650542 
0 0.881203 -0.659329 
0 0.887932 -0.668109 
0 0.894471 -0.676882 
0 0.90082 -0.685648 
0 0.906978 -0.694406 
0 0.912943 -0.703158 
0 0.918714 -0.711902 
0 0.92429 -0.720639 
0 0.929669 -0.729369 
0 0.934851 -0.738091 
0 0.939835 -0.746806 
0 0.94462 -0.755513 
0 0.949204 -0.764213 
0 0.953587 -0.772905 
0 0.957769 -0.781589 
0 0.961747 -0.790265 
0 0.965522 -0.798933 
0 0.969093 -0.807593 
0 0.972458 -0.816245 
0 0.975618 -0.824889 
0 0.978572 -0.833525 
0 0.98132 -0.842153 
0 0.98386 -0.850772 
0 0.986192 -0.859383 
0 0.988316 -0.867985 
0 0.990232 -0.876579 
0 0.991939 -0.885164 
0 0.993437 -0.893741 
0 0.994726 -0.902309 
0 0.995806 -0.910868 
0 0.996676 -0.919419 
0 0.997336 -0.92796 
0 0.997786 -0.936493 
0 0.998027 -0.945016 
0 0.998058 -0.953531 
0 0.997879 -0.962036 
0 0.997491 -0.970532 
0 0.996893 -0.979019 
0 0.996087 -0.987497 
0 0.995071 -0.995965 
0 0.993847 -1.00442 
0 0.992414 -1.01287 
0 0.990774 -1.02131 
0 0.988926 -1.02974 
0 0.986871 -1.03816 
0 0.98461 -1.04658 
0 0.982142 -1.05498 
0 0.97947 -1.06337 
0 0.976593 -1.07175 
0 0.973511 -1.08012 
0 0.970227 -1.08848 
0 0.96674 -1.09683 
0 0.963051 -1.10518 
0 0.959161 -1.11351 
0 0.955071 -1.12183 
0 0.950782 -1.13014 
0 0.946295 -1.13844 
0 0.941611 -1.14673 
0 0.936731 -1.15501 
0 0.931656 -1.16328 
0 0.926387 -1.17154 
0 0.920926 -1.17979 
0 0.915273 -1.18803 
0 0.909429 -1.19625 
0 0.903397 -1.20447 
0 0.897177 -1.21268 
0 0.890771 -1.22087 
0 0.88418 -1.22905 
0 0.877405 -1.23723 
0 0.870449 -1.24539 
0 0.863312 -1.25354 
0 0.855996 -1.26168 
0 0.848503 -1.26981 
0 0.840833 -1.27793 
0 0.83299 -1.28604 
0 0.824975 -1.29413 
0 0.816788 -1.30222 
0 0.808433 -1.31029 
0 0.79991 -1.31835 
0 0.791222 -1.3264 
0 0.78237 -1.33444 
0 0.773357 -1.34247 
0 0.764184 -1.35049 
0 0.754853 -1.35849 
0 0.745366 -1.36648 
0 0.735726 -1.37446 
0 0.725933 -1.38243 
0 0.715991 -1.39039 
0 0.705901 -1.39834 
0 0.695666 -1.40627 
0 0.685287 -1.41419 
0 0.674767 -1.42211 
0 0.664108 -1.43 
0 0.653312 -1.43789 
0 0.642381 -1.44577 
0 0.631318 -1.45363 
0 0.620126 -1.46148 
0 0.608805 -1.46932 
0 0.597359 -1.47714 
0 0.585791 -1.48496 
0 0.574102 -1.49276 
0 0.562295 -1.50055 
0 0.550372 -1.50832 
0 0.538336 -1.51609 
0 0.526189 -1.52384 
0 0.513935 -1.53158 
0 0.501574 -1.53931 
0 0.489111 -1.54702 
0 0.476547 -1.55473 
0 0.463886 -1.56242 
0 0.451129 -1.57009 
0 0.438279 -1.57776 
